15							
46217	12	4	2021	12345	7	PV455JX	1260
80593	2	3	2020	29503	14	GN126LJ	1190
21764	18	9	2021	28493	30	NO117MX	7200
35821	4	2	2023	48392	1	VS144SV	140
64230	23	7	2021	10048	5	QR255RH	600
75136	25	1	2020	32463	8	NO117MX	1680
94028	13	5	2020	35924	17	QR255RH	2550
63175	31	11	2021	59284	35	NH043AQ	9100
12704	8	1	2023	35924	2	RR212WB	380
56932	29	2	2021	48392	4	NH043AQ	800
83057	20	5	2023	12345	5	PV455JX	1000
68496	30	4	2023	29503	35	VS144SV	3500
18492	10	5	2023	29531	10	NO117MX	3000
93716	29	4	2023	34958	30	WC574XY	2880
74893	2	5	2023	10048	15	HD782FG	3150
